time_bucket_sec,avg_latency_ms,p99_latency_ms,rps,error_rate
2025-07-08T13:58:15,3.34,9.02,1.3,0.0
2025-07-08T13:58:20,3.21,12.07,2.33,0.0
2025-07-08T13:58:25,2.81,9.23,3.6,0.0
2025-07-08T13:58:30,2.77,13.11,5.07,0.0
2025-07-08T13:58:35,2.65,13.25,6.33,0.0
2025-07-08T13:58:40,3.28,31.08,7.67,0.0
2025-07-08T13:58:45,3.45,20.95,9.07,0.0
2025-07-08T13:58:50,2.51,11.27,10.47,0.0
2025-07-08T13:58:55,4.95,79.35,11.53,0.0
2025-07-08T13:59:00,2.66,14.62,13.2,0.0
2025-07-08T13:59:05,2.39,10.61,14.53,0.0
2025-07-08T13:59:10,2.59,16.34,15.8,0.0
2025-07-08T13:59:15,4.79,83.32,17.0,0.0
2025-07-08T13:59:20,2.04,7.08,18.47,0.0
2025-07-08T13:59:25,2.74,25.16,19.93,0.0
2025-07-08T13:59:30,2.42,14.4,21.2,0.0
2025-07-08T13:59:35,2.25,8.61,22.67,0.0
2025-07-08T13:59:40,2.91,22.04,23.8,0.0
2025-07-08T13:59:45,3.62,31.04,25.27,0.0
2025-07-08T13:59:50,2.11,8.66,26.6,0.0
2025-07-08T13:59:55,3.8,46.48,27.93,0.0
2025-07-08T14:00:00,5.33,39.52,29.13,0.0
2025-07-08T14:00:05,4.73,40.36,30.4,0.0
2025-07-08T14:00:10,3.67,28.17,31.93,0.0
2025-07-08T14:00:15,8.67,36.13,3.4,0.0
2025-07-08T14:06:05,4.93,12.77,0.4,0.0
2025-07-08T14:06:10,4.54,20.65,1.07,0.0
2025-07-08T14:06:15,2.78,8.64,2.6,0.0
2025-07-08T14:06:20,2.39,5.31,3.93,0.0
2025-07-08T14:06:25,2.68,9.15,5.13,0.0
2025-07-08T14:06:30,2.8,10.79,6.67,0.0
2025-07-08T14:06:35,2.57,9.27,7.93,0.0
2025-07-08T14:06:40,2.83,19.02,9.33,0.0
2025-07-08T14:06:45,3.11,35.47,10.67,0.0
2025-07-08T14:06:50,2.56,19.3,12.07,0.0
2025-07-08T14:06:55,7.42,93.61,13.13,0.0
2025-07-08T14:07:00,4.01,33.49,14.6,0.0
2025-07-08T14:07:05,2.69,20.47,16.07,0.0
2025-07-08T14:07:10,3.04,17.0,17.4,0.0
2025-07-08T14:07:15,4.65,61.01,18.8,0.0
2025-07-08T14:07:20,2.59,17.34,20.0,0.0
2025-07-08T14:07:25,2.86,29.68,21.27,0.0
2025-07-08T14:07:30,2.62,18.13,22.93,0.0
2025-07-08T14:07:35,2.47,12.6,24.13,0.0
2025-07-08T14:07:40,2.97,18.5,25.47,0.0
2025-07-08T14:07:45,3.37,31.63,26.93,0.0
2025-07-08T14:07:50,2.48,15.03,28.33,0.0
2025-07-08T14:07:55,2.67,17.21,29.67,0.0
2025-07-08T14:08:00,3.23,28.97,30.8,0.0
2025-07-08T14:08:05,5.02,57.46,29.07,0.0
